iter	Passed	Remaining
419	2380	3287
420	2386	3281
421	2391	3275
422	2397	3269
423	2402	3263
424	2404	3253
425	2409	3247
426	2415	3241
427	2420	3235
428	2426	3230
429	2433	3225
430	2438	3219
431	2443	3212
432	2448	3206
433	2454	3201
434	2460	3196
435	2466	3190
436	2472	3185
437	2477	3179
438	2481	3171
439	2487	3165
440	2494	3162
441	2501	3157
442	2506	3151
443	2513	3146
444	2518	3141
445	2524	3135
446	2530	3130
447	2537	3126
448	2542	3120
449	2547	3113
450	2553	3108
451	2559	3103
452	2567	3099
453	2572	3094
454	2578	3088
455	2584	3083
456	2590	3078
457	2596	3072
458	2603	3068
459	2609	3063
460	2614	3057
461	2619	3050
462	2626	3046
463	2632	3040
464	2639	3036
465	2644	3030
466	2650	3025
467	2654	3017
468	2660	3012
469	2666	3006
470	2673	3002
471	2678	2996
472	2685	2991
473	2690	2986
474	2697	2981
475	2703	2976
476	2708	2969
477	2714	2964
478	2720	2959
479	2725	2953
480	2731	2947
481	2736	2940
482	2742	2935
483	2747	2929
484	2752	2922
485	2758	2917
486	2763	2911
487	2768	2905
488	2774	2899
489	2780	2894
490	2786	2888
491	2791	2882
492	2797	2877
493	2803	2871
494	2810	2867
495	2815	2861
496	2821	2855
497	2826	2849
498	2831	2843
499	2837	2837
500	2841	2829
501	2846	2823
502	2852	2818
503	2858	2812
504	2864	2807
505	2871	2803
506	2877	2798
507	2883	2793
508	2889	2787
509	2895	2782
510	2901	2776
511	2907	2770
512	2914	2766
513	2920	2761
514	2926	2755
515	2932	2750
516	2937	2744
517	2944	2739
518	2948	2732
519	2952	2725
520	2957	2719
521	2964	2714
522	2970	2709
523	2974	2701
524	2980	2696
525	2986	2690
526	2991	2685
527	2997	2679
528	3003	2674
529	3009	2668
530	3014	2662
531	3019	2656
532	3025	2651
533	3032	2646
534	3040	2642
535	3046	2637
536	3053	2632
537	3059	2627
538	3066	2622
539	3071	2616
540	3076	2610
541	3082	2604
542	3089	2600
543	3095	2594
544	3101	2589
545	3107	2584
546	3112	2578
547	3118	2572
548	3124	2566
549	3129	2560
550	3134	2554
551	3140	2548
552	3145	2542
553	3150	2536
554	3156	2530
555	3161	2524
556	3166	2518
557	3172	2512
558	3177	2506
559	3184	2501
560	3190	2496
561	3196	2491
562	3202	2485
563	3207	2479
564	3212	2473
565	3219	2468
566	3224	2462
567	3229	2456
568	3234	2449
569	3240	2444
570	3245	2438
571	3251	2433
572	3257	2427
573	3262	2421
574	3269	2416
575	3274	2410
576	3280	2404
577	3284	2398
578	3290	2392
579	3296	2387
580	3301	2380
581	3305	2374
582	3311	2368
583	3317	2363
584	3322	2357
585	3328	2351
586	3335	2346
587	3341	2341
588	3347	2335
589	3353	2330
590	3358	2324
591	3363	2318
592	3369	2312
593	3376	2307
594	3382	2302
595	3388	2297
596	3395	2291
597	3402	2287
598	3408	2281
599	3414	2276
600	3420	2270
601	3426	2265
602	3432	2259
603	3437	2253
604	3443	2248
605	3448	2242
606	3454	2236
607	3459	2230
608	3465	2225
609	3472	2219
610	3478	2214
611	3484	2208
612	3489	2203
613	3496	2198
614	3503	2193
615	3509	2187
616	3516	2182
617	3520	2176
618	3528	2172
619	3535	2166
620	3540	2160
621	3546	2155
622	3552	2149
623	3558	2144
624	3564	2138
625	3569	2132
626	3575	2126
627	3581	2121
628	3586	2115
629	3592	2109
630	3597	2103
631	3603	2098
632	3609	2092
633	3616	2087
634	3622	2082
635	3627	2076
636	3633	2070
637	3639	2064
638	3645	2059
639	3652	2054
640	3657	2048
