iter	R2	RMSE
291	0.9421552883	0.09603834955
292	0.9423241283	0.09589808637
293	0.9424253314	0.09581391391
294	0.9424419281	0.09580010304
295	0.9426372633	0.09563740622
296	0.9427306304	0.09555954183
297	0.9427357508	0.09555526984
298	0.9429059951	0.09541312311
299	0.9430909922	0.09525841793
300	0.9431062058	0.0952456843
301	0.9431322584	0.09522387456
302	0.9432326305	0.09513980192
303	0.9433831431	0.09501359166
304	0.9435339888	0.09488693372
305	0.9437136626	0.09473584925
306	0.943785187	0.09467563856
307	0.9438221026	0.09464454725
308	0.943887243	0.09458965931
309	0.9439846272	0.0945075431
310	0.9439980169	0.09449624705
311	0.944149986	0.09436794568
312	0.9443787109	0.09417451288
313	0.9444704861	0.09409678684
314	0.944691515	0.0939093293
315	0.9447330969	0.09387402137
316	0.9447520102	0.09385795729
317	0.9448672154	0.09376004811
318	0.9450123585	0.09363654996
319	0.9451365345	0.09353076274
320	0.9451480729	0.09352092693
321	0.9452196613	0.09345987893
322	0.9453375581	0.09335925383
323	0.9453558387	0.09334364156
324	0.9455546784	0.09317365697
325	0.9456954009	0.09305316802
326	0.9457336628	0.09302038059
327	0.9457619712	0.09299611511
328	0.9457947121	0.09296804223
329	0.9458314645	0.09293651962
330	0.945849016	0.09292146198
331	0.945890935	0.09288548912
332	0.9460658456	0.0927352388
333	0.9461864465	0.09263149921
334	0.9462464741	0.0925798208
335	0.9462712433	0.09255848838
336	0.9463442969	0.09249554229
337	0.9464631969	0.09239300125
338	0.9464732477	0.09238432804
339	0.9464855712	0.09237369265
340	0.946493138	0.0923671617
341	0.9465100723	0.09235254399
342	0.9465204017	0.09234362649
343	0.9466047588	0.0922707677
344	0.946623349	0.0922547037
345	0.9466344335	0.0922451241
346	0.9467261596	0.09216581343
347	0.9467942952	0.09210685593
348	0.9468355739	0.09207111927
349	0.9468501239	0.09205851946
350	0.9469510906	0.09197103794
351	0.9469572852	0.09196566797
352	0.9470409083	0.09189314633
353	0.9471375336	0.09180927726
354	0.9471471369	0.09180093763
355	0.9471646283	0.09178574579
356	0.9471747555	0.09177694892
357	0.9472321242	0.09172710002
358	0.9472992459	0.0916687422
359	0.9473176266	0.09165275493
360	0.9473302368	0.09164178513
361	0.94743426	0.09155124382
362	0.947445221	0.09154169816
363	0.947464149	0.09152521194
364	0.9474765166	0.09151443822
365	0.9474838537	0.09150804614
366	0.9475186997	0.09147768194
367	0.9476834691	0.09133396813
368	0.9476967762	0.09132235165
369	0.9477270957	0.09129587871
370	0.947738948	0.09128552794
371	0.9477445955	0.09128059548
372	0.9477633543	0.09126420994
373	0.9478111182	0.09122247552
374	0.9478222886	0.09121271248
375	0.9478271833	0.09120843407
376	0.9478302615	0.09120574341
377	0.9478496856	0.09118876274
378	0.9478570848	0.09118229345
379	0.9478691019	0.0911717857
380	0.9478903239	0.09115322628
381	0.947986146	0.0910693789
382	0.9479912896	0.0910648759
383	0.9481276292	0.09094543536
384	0.9481445756	0.09093057852
385	0.9481515782	0.09092443863
386	0.9482447934	0.09084266807
387	0.9482823077	0.09080973881
388	0.9482933165	0.0908000733
389	0.9483303993	0.09076750764
390	0.9483500169	0.09075027493
391	0.9483528783	0.09074776116
392	0.9483556426	0.09074533255
393	0.9485480622	0.09057612263
394	0.9486268514	0.09050674572
395	0.9486369222	0.09049787414
396	0.9486924928	0.09044890531
397	0.9487030811	0.09043957186
398	0.9487131967	0.0904306542
399	0.9487942325	0.0903591834
400	0.9488320388	0.0903258202
401	0.9489147399	0.09025279542
402	0.9489453159	0.09022578193
403	0.9489589037	0.09021377466
404	0.9489753197	0.09019926603
405	0.9491277581	0.09006442821
406	0.9491444438	0.09004965675
407	0.9491512159	0.09004366094
408	0.9491537256	0.09004143876
409	0.9493124473	0.08990079228
410	0.9493371203	0.0898789093
411	0.9494238232	0.08980196835
412	0.9494597998	0.08977002301
413	0.9495583889	0.08968242284
414	0.9495616161	0.08967955384
415	0.9495738192	0.08966870464
416	0.9495830258	0.08966051861
417	0.94973864	0.08952204108
418	0.9497402292	0.08952062584
419	0.9497440922	0.08951718545
420	0.9497513409	0.08951072943
421	0.9497711669	0.08949306911
422	0.949787208	0.08947877768
423	0.949826821	0.08944347567
424	0.9498291287	0.08944141874
